event_id,question,evidence,notes
E01,Will project 1 ship its next release within its committed quarter?,Track record of this team: weak signal against on-time delivery (see notes).,Team 1: last four releases were late 3 of 4 times; scope this quarter is similar than usual.
E02,Will project 2 ship its next release within its committed quarter?,Track record of this team: weak signal against on-time delivery (see notes).,Team 2: last four releases were late 3 of 4 times; scope this quarter is similar than usual.
E03,Will project 3 ship its next release within its committed quarter?,Track record of this team: weak signal for on-time delivery (see notes).,Team 3: last four releases were on time 2 of 4 times; scope this quarter is similar than usual.
E04,Will project 4 ship its next release within its committed quarter?,Track record of this team: weak signal against on-time delivery (see notes).,Team 4: last four releases were late 3 of 4 times; scope this quarter is similar than usual.
E05,Will project 5 ship its next release within its committed quarter?,Track record of this team: weak signal for on-time delivery (see notes).,Team 5: last four releases were on time 2 of 4 times; scope this quarter is similar than usual.
E06,Will project 6 ship its next release within its committed quarter?,Track record of this team: weak signal against on-time delivery (see notes).,Team 6: last four releases were late 3 of 4 times; scope this quarter is similar than usual.
E07,Will project 7 ship its next release within its committed quarter?,Track record of this team: weak signal for on-time delivery (see notes).,Team 7: last four releases were on time 2 of 4 times; scope this quarter is similar than usual.
E08,Will project 8 ship its next release within its committed quarter?,Track record of this team: strong signal for on-time delivery (see notes).,Team 8: last four releases were on time 2 of 4 times; scope this quarter is much smaller than usual.
E09,Will project 9 ship its next release within its committed quarter?,Track record of this team: weak signal against on-time delivery (see notes).,Team 9: last four releases were late 4 of 4 times; scope this quarter is similar than usual.
E10,Will project 10 ship its next release within its committed quarter?,Track record of this team: weak signal against on-time delivery (see notes).,Team 10: last four releases were late 4 of 4 times; scope this quarter is similar than usual.
